"No.","Time","Source","Destination","Protocol","Length","Info"
"75","30.395802","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","Who has 192.168.43.92? Tell 192.168.43.3"
"76","30.398153","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","192.168.43.92 is at 1a:02:ae:9a:0d:ef"
"77","30.661836","192.168.43.3","69.171.250.60","TCP","54","49542  >  443 [FIN, ACK] Seq=582 Ack=2507 Win=65700 Len=0"
"78","30.662110","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [FIN, ACK] Seq=987 Ack=1819 Win=66816 Len=0"
"79","31.141110","192.168.43.3","69.171.250.60","TCP","54","[TCP Retransmission] 49542  >  443 [FIN, ACK] Seq=582 Ack=2507 Win=65700 Len=0"
"80","31.250829","69.171.250.60","192.168.43.3","TCP","54","[TCP Previous segment not captured] 443  >  49542 [ACK] Seq=2508 Ack=583 Win=66816 Len=0"
"81","31.370090","69.171.250.60","192.168.43.3","TCP","54","[TCP Out-Of-Order] 443  >  49542 [FIN, ACK] Seq=2507 Ack=583 Win=66816 Len=0"
"82","31.370176","192.168.43.3","69.171.250.60","TCP","54","49542  >  443 [ACK] Seq=583 Ack=2508 Win=65700 Len=0"
"83","32.130681","192.168.43.3","69.171.250.60","TCP","54","[TCP Retransmission] 49541  >  443 [FIN, ACK] Seq=987 Ack=1819 Win=66816 Len=0"
"84","32.238430","69.171.250.60","192.168.43.3","TCP","54","[TCP Previous segment not captured] 443  >  49541 [ACK] Seq=1820 Ack=988 Win=30208 Len=0"
"85","32.925054","69.171.250.60","192.168.43.3","TCP","54","[TCP Retransmission] 443  >  49541 [FIN, ACK] Seq=1819 Ack=988 Win=30208 Len=0"
"86","32.925122","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [ACK] Seq=988 Ack=1820 Win=66816 Len=0"
"87","34.918126","192.168.43.3","69.171.250.60","TCP","66","49543  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"88","35.017973","192.168.43.3","192.168.43.92","DNS","75","Standard query 0xd90c A www.youtube.com"
"89","35.074847","69.171.250.60","192.168.43.3","TCP","66","443  >  49543 [SYN, ACK] Seq=0 Ack=1 Win=27840 Len=0 MSS=1392 SACK_PERM=1 WS=256"
"90","35.074941","192.168.43.3","69.171.250.60","TCP","54","49543  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=0"
"91","35.076421","192.168.43.3","69.171.250.60","TLSv1.3","571","Client Hello"
"92","35.114819","192.168.43.92","192.168.43.3","DNS","237","Standard query response 0xd90c A www.youtube.com CNAME youtube-ui.l.google.com A 172.217.194.190 A 172.217.194.91 A 172.217.194.136 A 172.217.194.93 A 172.217.160.46 A 74.125.24.190 A 74.125.24.93 A 74.125.68.91"
"93","35.121103","192.168.43.3","172.217.194.190","UDP","1392","57120  >  443 Len=1350"
"94","35.205083","69.171.250.60","192.168.43.3","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"95","35.208752","192.168.43.3","69.171.250.60","TLSv1.3","118","Change Cipher Spec, Application Data"
"96","35.209536","192.168.43.3","69.171.250.60","TLSv1.3","146","Application Data"
"97","35.209969","192.168.43.3","69.171.250.60","TLSv1.3","392","Application Data"
"98","35.210128","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=1012 Ack=213 Win=66604 Len=1392 [TCP segment of a reassembled PDU]"
"99","35.210141","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=2404 Ack=213 Win=66604 Len=1392 [TCP segment of a reassembled PDU]"
"100","35.239738","172.217.194.190","192.168.43.3","UDP","1392","443  >  57120 Len=1350"
"101","35.241502","192.168.43.3","172.217.194.190","UDP","75","57120  >  443 Len=33"
"102","35.242880","192.168.43.3","172.217.194.190","UDP","1392","57120  >  443 Len=1350"
"103","35.243037","192.168.43.3","172.217.194.190","UDP","700","57120  >  443 Len=658"
"104","35.243176","192.168.43.3","172.217.194.190","UDP","1392","57120  >  443 Len=1350"
"105","35.243268","192.168.43.3","172.217.194.190","UDP","120","57120  >  443 Len=78"
"106","35.309881","69.171.250.60","192.168.43.3","TLSv1.3","128","[TCP Previous segment not captured] , Application Data"
"107","35.309950","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 95#1] 49543  >  443 [ACK] Seq=3796 Ack=213 Win=66604 Len=0 SLE=370 SRE=444"
"108","35.310070","192.168.43.3","69.171.250.60","TLSv1.3","205","Application Data [TCP segment of a reassembled PDU]"
"109","35.310208","69.171.250.60","192.168.43.3","TCP","211","[TCP Out-Of-Order] 443  >  49543 [PSH, ACK] Seq=213 Ack=582 Win=28928 Len=157"
"110","35.310250","192.168.43.3","69.171.250.60","TCP","54","49543  >  443 [ACK] Seq=3947 Ack=444 Win=66372 Len=0"
"111","35.316790","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=444 Ack=1012 Win=30208 Len=0"
"112","35.316792","69.171.250.60","192.168.43.3","TLSv1.3","98","Application Data"
"113","35.333608","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=3796 Win=35584 Len=0"
"114","35.333698","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=3947 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"115","35.333718","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=5339 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"116","35.333734","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"117","35.333745","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=8123 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"118","35.333756","192.168.43.3","69.171.250.60","TLSv1.3","914","Application Data [TCP segment of a reassembled PDU]"
"119","35.364569","172.217.194.190","192.168.43.3","UDP","67","443  >  57120 Len=25"
"120","35.378754","172.217.194.190","192.168.43.3","UDP","756","443  >  57120 Len=714"
"121","35.378757","172.217.194.190","192.168.43.3","UDP","77","443  >  57120 Len=35"
"122","35.379878","192.168.43.3","172.217.194.190","UDP","77","57120  >  443 Len=35"
"123","35.380151","192.168.43.3","172.217.194.190","UDP","77","57120  >  443 Len=35"
"124","35.466700","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=5339 Win=41216 Len=0"
"125","35.466765","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=10375 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"126","35.466775","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"127","35.466920","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=8123 Win=46848 Len=0"
"128","35.466948","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=13159 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"129","35.466954","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"130","35.466959","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=15943 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"131","35.466965","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"132","35.473448","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=10375 Win=52480 Len=0"
"133","35.473485","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=18727 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"134","35.473492","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"135","35.473498","192.168.43.3","69.171.250.60","TCP","1446","49543  >  443 [ACK] Seq=21511 Ack=488 Win=66328 Len=1392 [TCP segment of a reassembled PDU]"
"136","35.485797","192.168.43.3","172.217.194.190","UDP","1392","57120  >  443 Len=1350"
"137","35.585908","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=13159 Win=57856 Len=0"
"138","35.585976","192.168.43.3","69.171.250.60","TLSv1.3","1446","Application Data [TCP segment of a reassembled PDU]"
"139","35.585988","192.168.43.3","69.171.250.60","TLSv1.3","1408","Application Data, Application Data"
"140","35.594556","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=18727 Win=69120 Len=0"
"141","35.623833","172.217.194.190","192.168.43.3","UDP","67","443  >  57120 Len=25"
"142","35.690939","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [ACK] Seq=488 Ack=24295 Win=80128 Len=0"
"143","35.981806","69.171.250.60","192.168.43.3","TLSv1.3","236","Application Data"
"144","36.181036","192.168.43.3","69.171.250.60","TCP","54","49543  >  443 [ACK] Seq=25649 Ack=670 Win=66144 Len=0"
"145","36.295055","69.171.250.60","192.168.43.3","TLSv1.3","236","[TCP Spurious Retransmission] , Application Data"
"146","36.295113","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 144#1] 49543  >  443 [ACK] Seq=25649 Ack=670 Win=66144 Len=0 SLE=488 SRE=670"
"147","37.503998","69.171.250.60","192.168.43.3","TLSv1.2","143","Application Data"
"148","37.700736","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=964 Ack=1148 Win=16681 Len=0"
"149","38.090643","192.168.43.3","74.125.68.188","TCP","55","49534  >  5228 [ACK] Seq=1 Ack=1 Win=16274 Len=1"
"150","38.185462","74.125.68.188","192.168.43.3","TCP","66","5228  >  49534 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"151","40.671146","192.168.43.3","69.171.250.60","TCP","54","49543  >  443 [FIN, ACK] Seq=25649 Ack=670 Win=66144 Len=0"
"152","41.150911","69.171.250.60","192.168.43.3","TCP","54","443  >  49543 [FIN, ACK] Seq=670 Ack=25650 Win=82944 Len=0"
"153","41.151014","192.168.43.3","69.171.250.60","TCP","54","49543  >  443 [ACK] Seq=25650 Ack=671 Win=66144 Len=0"
"154","46.232944","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"155","46.232993","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
"156","54.045298","192.168.43.3","69.171.250.60","TLSv1.2","85","Application Data"
"157","54.145501","69.171.250.60","192.168.43.3","TCP","54","443  >  49528 [ACK] Seq=1148 Ack=995 Win=425 Len=0"
"158","54.367400","69.171.250.60","192.168.43.3","TLSv1.2","92","Application Data"
"159","54.564815","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=995 Ack=1186 Win=16672 Len=0"
"160","65.126236","192.168.43.3","69.171.250.60","TLSv1.2","85","Application Data"
"161","65.223004","69.171.250.60","192.168.43.3","TCP","54","443  >  49528 [ACK] Seq=1186 Ack=1026 Win=425 Len=0"
"162","65.438968","69.171.250.60","192.168.43.3","TLSv1.2","92","Application Data"
"163","65.634243","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1026 Ack=1224 Win=16662 Len=0"
"164","69.893472","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","Who has 192.168.43.92? Tell 192.168.43.3"
"165","69.896093","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","192.168.43.92 is at 1a:02:ae:9a:0d:ef"
"166","70.295630","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"167","70.295665","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
"168","79.122440","69.171.250.60","192.168.43.3","TLSv1.2","173","Application Data"
"169","79.328246","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1026 Ack=1343 Win=16633 Len=0"
"170","83.187887","192.168.43.3","74.125.68.188","TCP","55","[TCP Keep-Alive] 49534  >  5228 [ACK] Seq=1 Ack=1 Win=16274 Len=1"
"171","83.355014","74.125.68.188","192.168.43.3","TCP","66","[TCP Keep-Alive ACK] 5228  >  49534 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"172","86.521879","69.171.250.60","192.168.43.3","TLSv1.2","566","[TCP Previous segment not captured] , Ignored Unknown Record"
"173","86.521943","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 169#1] 49528  >  443 [ACK] Seq=1026 Ack=1343 Win=16633 Len=0 SLE=2367 SRE=2879"
"174","88.470684","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"175","88.470722","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
"176","88.868939","69.171.250.60","192.168.43.3","TCP","566","[TCP Retransmission] 443  >  49528 [ACK] Seq=1343 Ack=1026 Win=425 Len=512"
"177","88.869006","192.168.43.3","69.171.250.60","TCP","66","49528  >  443 [ACK] Seq=1026 Ack=1855 Win=16505 Len=0 SLE=2367 SRE=2879"
"178","91.938309","69.171.250.60","192.168.43.3","TCP","566","[TCP Retransmission] 443  >  49528 [ACK] Seq=1855 Ack=1026 Win=425 Len=512"
"179","91.938389","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1026 Ack=2879 Win=16704 Len=0"
"180","92.019599","69.171.250.60","192.168.43.3","TLSv1.2","377","Ignored Unknown Record"
"181","92.217732","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1026 Ack=3202 Win=16623 Len=0"
"182","94.151332","69.171.250.60","192.168.43.3","TLSv1.2","279","[TCP Previous segment not captured] , Application Data"
"183","94.151429","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 181#1] 49528  >  443 [ACK] Seq=1026 Ack=3202 Win=16623 Len=0 SLE=3336 SRE=3561"
"184","94.240051","69.171.250.60","192.168.43.3","TCP","188","[TCP Retransmission] 443  >  49528 [PSH, ACK] Seq=3202 Ack=1026 Win=425 Len=134"
"185","94.240170","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1026 Ack=3561 Win=16533 Len=0"
"186","100.291472","192.168.43.3","172.217.194.190","UDP","1392","57122  >  443 Len=1350"
"187","100.434651","172.217.194.190","192.168.43.3","UDP","1392","443  >  57122 Len=1350"
"188","100.436753","192.168.43.3","172.217.194.190","UDP","75","57122  >  443 Len=33"
"189","100.438184","192.168.43.3","172.217.194.190","UDP","1392","57122  >  443 Len=1350"
"190","100.438368","192.168.43.3","172.217.194.190","UDP","699","57122  >  443 Len=657"
"191","100.438535","192.168.43.3","172.217.194.190","UDP","1081","57122  >  443 Len=1039"
"192","100.550440","172.217.194.190","192.168.43.3","UDP","764","443  >  57122 Len=722"
"193","100.551039","172.217.194.190","192.168.43.3","UDP","233","443  >  57122 Len=191"
"194","100.552550","192.168.43.3","172.217.194.190","UDP","77","57122  >  443 Len=35"
"195","100.553082","192.168.43.3","172.217.194.190","UDP","77","57122  >  443 Len=35"
"196","100.561925","192.168.43.3","192.168.43.92","DNS","80","Standard query 0x6a5a A beacons.gcp.gvt2.com"
"197","100.701288","192.168.43.92","192.168.43.3","DNS","126","Standard query response 0x6a5a A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com A 172.217.194.94"
"198","100.711240","192.168.43.3","172.217.194.94","UDP","1392","58766  >  443 Len=1350"
"199","100.829057","172.217.194.94","192.168.43.3","UDP","1392","443  >  58766 Len=1350"
"200","100.836457","172.217.194.94","192.168.43.3","UDP","1392","443  >  58766 Len=1350"
"201","100.842654","192.168.43.3","172.217.194.94","UDP","1392","58766  >  443 Len=1350"
"202","100.933951","172.217.194.94","192.168.43.3","UDP","1392","443  >  58766 Len=1350"
"203","100.936113","192.168.43.3","172.217.194.94","UDP","75","58766  >  443 Len=33"
"204","100.936714","192.168.43.3","172.217.194.94","UDP","545","58766  >  443 Len=503"
"205","101.212043","192.168.43.3","172.217.194.94","UDP","545","58766  >  443 Len=503"
"206","101.252319","172.217.194.94","192.168.43.3","UDP","1075","443  >  58766 Len=1033"
"207","101.253311","192.168.43.3","172.217.194.94","UDP","77","58766  >  443 Len=35"
"208","101.254566","192.168.43.3","172.217.194.94","UDP","85","58766  >  443 Len=43"
"209","101.339538","172.217.194.94","192.168.43.3","UDP","67","443  >  58766 Len=25"
"210","101.352860","172.217.194.94","192.168.43.3","UDP","68","443  >  58766 Len=26"
"211","101.381827","192.168.43.3","172.217.194.94","UDP","75","58766  >  443 Len=33"
"212","104.891979","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","Who has 192.168.43.92? Tell 192.168.43.3"
"213","104.897071","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","192.168.43.92 is at 1a:02:ae:9a:0d:ef"
"214","106.024886","192.168.43.3","69.171.250.60","TLSv1.2","180","Application Data"
"215","106.115722","69.171.250.60","192.168.43.3","TCP","54","443  >  49528 [ACK] Seq=3561 Ack=1152 Win=425 Len=0"
"216","111.253501","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"217","111.253550","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
"218","117.995190","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"219","118.996478","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"220","120.000916","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"221","121.001374","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"222","128.360375","192.168.43.3","74.125.68.188","TCP","55","[TCP Keep-Alive] 49534  >  5228 [ACK] Seq=1 Ack=1 Win=16274 Len=1"
"223","128.451625","74.125.68.188","192.168.43.3","TCP","66","[TCP Keep-Alive ACK] 5228  >  49534 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"224","133.524388","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
